SAMPN,PERNO,APURP1,MODE,ARR_HR,XCORD,YCORD,INCOM,AGE
1045607,1,1.0,6.0,3,-122.189451,37.7906644,4,57
1045607,1,9.0,5.0,7,-122.4107611,37.75957879999999,4,57
1045607,1,2.0,1.0,16,-122.189451,37.7906644,4,57
1051795,1,1.0,6.0,3,-122.48460459999998,37.7576385,4,54
1051795,1,31.0,5.0,11,-122.5292848,37.973154,4,54
1051795,1,27.0,5.0,12,-122.516457,37.969698,4,54
1051795,1,39.0,5.0,12,-122.524175,37.876468,4,54
1051795,1,34.0,5.0,13,-122.48810159999998,37.8606498,4,54
1051795,1,1.0,5.0,15,-122.48460459999998,37.7576385,4,54
1051795,2,1.0,6.0,3,-122.48460459999998,37.7576385,4,45
1051795,2,31.0,5.0,11,-122.5292848,37.973154,4,45
1051795,2,27.0,5.0,12,-122.516457,37.969698,4,45
1051795,2,30.0,5.0,12,-122.524175,37.876468,4,45
1051795,2,34.0,5.0,13,-122.48810159999998,37.8606498,4,45
1051795,2,22.0,5.0,15,-122.48460459999998,37.7576385,4,45
1051795,2,27.0,5.0,16,-122.488788,37.753953,4,45
1051795,2,1.0,5.0,16,-122.48460459999998,37.7576385,4,45
1051795,3,34.0,6.0,3,-122.33207079999998,47.6062095,4,13
1051795,4,1.0,6.0,3,-122.48460459999998,37.7576385,4,4
1051795,4,31.0,5.0,11,-122.5292848,37.973154,4,4
1051795,4,27.0,5.0,12,-122.516457,37.969698,4,4
1051795,4,30.0,5.0,12,-122.524175,37.876468,4,4
1051795,4,34.0,5.0,13,-122.48810159999998,37.8606498,4,4
1051795,4,1.0,5.0,15,-122.48460459999998,37.7576385,4,4
1061742,1,1.0,6.0,3,-122.172254,38.262735,4,60
1061742,1,38.0,5.0,7,-122.05513,38.289979,4,60
1061742,1,22.0,5.0,14,-122.050783,38.276125,4,60
1061742,1,38.0,5.0,14,-122.05513,38.289979,4,60
1061742,1,36.0,5.0,16,-122.06281,38.24656,4,60
1061742,1,2.0,5.0,18,-122.172254,38.262735,4,60
1061742,2,1.0,6.0,3,-122.172254,38.262735,4,88
1061742,3,1.0,6.0,3,-122.172254,38.262735,4,60
1061831,1,1.0,6.0,3,-122.271094,37.50499,4,64
1061831,1,28.0,5.0,10,-122.2543221,37.5035783,4,64
1061831,1,9.0,5.0,11,-122.142725,37.4477145,4,64
1061831,1,25.0,5.0,12,-122.0577811,37.4015105,4,64
1061831,1,25.0,5.0,12,-122.065109,37.406007,4,64
1061831,1,25.0,5.0,13,-122.0577811,37.4015105,4,64
1061831,1,25.0,5.0,14,-122.4103429,37.5878417,4,64
1061831,1,1.0,5.0,15,-122.271094,37.50499,4,64
1067722,1,7.0,6.0,3,-122.0640635,37.9919063,4,58
1067722,1,32.0,5.0,15,-122.13312,38.006546,4,58
1067722,1,2.0,5.0,16,-122.0640635,37.9919063,4,58
1067722,2,1.0,6.0,3,-122.0640635,37.9919063,4,52
1067722,2,32.0,5.0,15,-122.13312,38.006546,4,52
1067722,2,1.0,5.0,16,-122.0640635,37.9919063,4,52
1067722,3,1.0,6.0,3,-122.0640635,37.9919063,4,92
1092669,1,1.0,6.0,3,-122.225008,38.087007,4,69
1092669,1,33.0,5.0,9,-122.258535,38.105618,4,69
1092669,1,33.0,5.0,10,-122.23636609999998,38.1046333,4,69
1092669,1,1.0,5.0,13,-122.225008,38.087007,4,69
1096693,1,1.0,6.0,3,-122.379304,37.588916,4,74
1096693,1,9.0,5.0,11,-122.266067,37.568457,4,74
1096693,1,9.0,5.0,14,-122.3319035,37.5781774,4,74
1096693,1,1.0,5.0,16,-122.379304,37.588916,4,74
1096693,1,27.0,5.0,16,-122.384185,37.594844,4,74
1096693,1,1.0,5.0,17,-122.379304,37.588916,4,74
1120071,1,1.0,6.0,3,-122.25352,37.552037,4,75
1120071,1,9.0,5.0,9,-122.3748851,37.589239,4,75
1120071,1,22.0,5.0,17,-122.382498,37.587998,4,75
1120071,1,33.0,5.0,17,-122.373124,37.58584310000001,4,75
1120071,1,22.0,5.0,20,-122.382498,37.587998,4,75
1120071,1,1.0,5.0,20,-122.25352,37.552037,4,75
1121291,1,1.0,6.0,3,-122.030664,38.259321,4,55
1121291,1,27.0,5.0,9,-122.035453,38.26359,4,55
1121291,1,1.0,5.0,10,-122.030664,38.259321,4,55
1121291,1,30.0,5.0,13,-122.04505,38.248444,4,55
1121291,1,27.0,5.0,14,-122.0322454,38.2656729,4,55
1121291,1,27.0,5.0,14,-122.0564822,38.26227700000001,4,55
1121291,1,1.0,5.0,19,-122.030664,38.259321,4,55
1121291,1,37.0,3.0,22,-122.030663,38.259554,4,55
1121291,1,1.0,3.0,23,-122.030664,38.259321,4,55
1122037,1,1.0,6.0,3,-121.80066399999998,37.258147,4,45
1122037,1,25.0,3.0,9,-121.8008487,37.2586884,4,45
1122037,1,1.0,3.0,12,-121.80066399999998,37.258147,4,45
1122037,2,1.0,6.0,3,-121.80066399999998,37.258147,4,49
1122037,3,1.0,6.0,3,-121.80066399999998,37.258147,4,20
1122037,4,1.0,6.0,3,-121.80066399999998,37.258147,4,16
1122037,5,1.0,6.0,3,-121.80066399999998,37.258147,4,11
1123124,1,1.0,6.0,3,-122.3569422,37.9599033,4,31
1123124,1,9.0,5.0,8,-122.4018522,37.7790206,4,31
1123124,1,32.0,5.0,16,-122.333757,37.933513,4,31
1123124,1,1.0,5.0,18,-122.3569422,37.9599033,4,31
1123124,2,9.0,6.0,3,-122.44486100000002,37.738902,4,50
1123124,2,1.0,1.0,19,-122.3569422,37.9599033,4,50
1123124,3,1.0,6.0,3,-122.3569422,37.9599033,4,25
1123124,3,37.0,1.0,11,-122.4541876,37.6389227,4,25
1123124,3,27.0,5.0,13,-122.43872240000002,37.7710616,4,25
1123124,3,37.0,5.0,16,-122.4541876,37.6389227,4,25
1123124,4,1.0,6.0,3,-122.3569422,37.9599033,4,27
1123124,5,1.0,6.0,3,-122.3569422,37.9599033,4,6
1123124,6,1.0,6.0,3,-122.3569422,37.9599033,4,3
1124168,1,1.0,6.0,3,-122.463385,38.288536,4,75
1124168,1,9.0,5.0,13,-122.46571090000002,38.2927716,4,75
1124168,1,32.0,5.0,17,-122.46542,38.29336,4,75
1124168,1,1.0,5.0,19,-122.463385,38.288536,4,75
1124459,1,1.0,6.0,3,-122.6726741,38.4632953,4,73
1124459,1,31.0,5.0,12,-122.6872947,38.4500881,4,73
1124459,1,1.0,5.0,13,-122.6726741,38.4632953,4,73
1124459,2,1.0,6.0,3,-122.6726741,38.4632953,4,86
1124459,2,27.0,3.0,11,-122.67189740000002,38.45769470000001,4,86
1124459,2,27.0,3.0,12,-122.673477,38.473823,4,86
1124459,2,1.0,3.0,13,-122.6726741,38.4632953,4,86
1127931,1,1.0,6.0,3,-122.40671299999998,37.799283,4,55
1127931,1,9.0,3.0,8,-122.4044195,37.7933349,4,55
1127931,1,1.0,3.0,16,-122.40671299999998,37.799283,4,55
1127931,1,99.0,3.0,18,-122.4076675,37.788504,4,55
1127931,1,1.0,3.0,18,-122.40671299999998,37.799283,4,55
1130076,1,1.0,6.0,3,-122.759036,38.430591,4,62
1130076,1,27.0,5.0,10,-122.743227,38.42798300000001,4,62
1130076,1,1.0,5.0,11,-122.759036,38.430591,4,62
1130076,1,9.0,3.0,13,-122.743688,38.433165,4,62
1130076,1,2.0,5.0,18,-122.759036,38.430591,4,62
1130076,1,9.0,5.0,18,-122.743688,38.433165,4,62
1130076,1,22.0,5.0,23,-122.7304258,38.4458073,4,62
1130076,1,22.0,5.0,23,-122.7379094,38.4554578,4,62
1130076,1,1.0,5.0,23,-122.759036,38.430591,4,62
1130076,2,1.0,6.0,3,-122.759036,38.430591,4,63
1130076,2,9.0,5.0,14,-122.726973,38.442946,4,63
1130076,2,22.0,5.0,18,-122.743688,38.433165,4,63
1130076,2,1.0,5.0,18,-122.759036,38.430591,4,63
1131021,1,1.0,6.0,3,-122.05584109999998,37.9271588,4,64
1131021,1,29.0,5.0,10,-122.0658023,37.9078488,4,64
1131021,1,29.0,5.0,11,-122.060742,37.901947,4,64
1131021,1,2.0,5.0,13,-122.05584109999998,37.9271588,4,64
1131021,1,22.0,5.0,14,-122.0305389,37.9283898,4,64
1131021,1,1.0,5.0,15,-122.05584109999998,37.9271588,4,64
1131021,2,1.0,6.0,3,-122.05584109999998,37.9271588,4,85
1131021,2,32.0,5.0,10,-122.0305389,37.9283898,4,85
1131021,2,2.0,5.0,15,-122.05584109999998,37.9271588,4,85
1131021,3,1.0,6.0,3,-122.05584109999998,37.9271588,4,60
1131021,3,1.0,5.0,7,-122.051886,37.909236,4,60
1131021,3,22.0,5.0,8,-122.0208642,37.91816170000001,4,60
1131021,3,2.0,5.0,8,-122.05584109999998,37.9271588,4,60
1131021,3,37.0,5.0,10,-122.0305389,37.9283898,4,60
1131021,3,22.0,5.0,14,-122.0208642,37.91816170000001,4,60
1131021,3,38.0,5.0,14,-122.051886,37.909236,4,60
1131021,3,2.0,5.0,17,-122.05584109999998,37.9271588,4,60
1134469,1,1.0,6.0,3,-122.457973,37.786507,4,64
1134469,1,34.0,3.0,7,-122.4568923,37.78693,4,64
1134469,1,34.0,3.0,7,-122.4586661,37.7919533,4,64
1134469,1,6.0,3.0,8,-122.457973,37.786507,4,64
1134469,1,34.0,5.0,15,-122.513789,37.778695,4,64
1134469,1,2.0,5.0,16,-122.457973,37.786507,4,64
1136363,1,1.0,6.0,3,-122.686147,38.34236,4,57
1136363,2,1.0,6.0,3,-122.686147,38.34236,4,65
1136363,2,9.0,5.0,6,-122.532567,38.073188,4,65
1136363,2,1.0,5.0,18,-122.686147,38.34236,4,65
1140200,1,1.0,6.0,3,-122.614999,38.251846,4,54
1140200,1,37.0,5.0,10,-122.6123123,38.113028,4,54
1140200,1,37.0,5.0,12,-122.27486299999998,38.260092,4,54
1140200,1,37.0,5.0,13,-122.417247,38.455757,4,54
1140200,1,37.0,5.0,14,-122.487893,38.52024,4,54
1140200,1,34.0,5.0,14,-122.542389,38.558467,4,54
1140200,1,37.0,5.0,17,-122.448722,38.489494,4,54
1140200,1,31.0,5.0,20,-122.3608105,38.4015781,4,54
1140200,1,1.0,5.0,1,-122.614999,38.251846,4,54
1141856,1,1.0,6.0,3,-122.278888,37.508892,4,67
1141856,1,22.0,5.0,8,-122.298312,37.516933,4,67
1141856,1,9.0,5.0,9,-122.3191277,37.5631585,4,67
1141856,1,25.0,5.0,14,-122.32064,37.54872,4,67
1141856,1,25.0,5.0,15,-122.3191277,37.5631585,4,67
1141856,1,27.0,5.0,17,-122.275556,37.518886,4,67
