SAMPN,PERNO,APURP1,MODE,ARR_HR,XCORD,YCORD,INCOM,AGE
1041766,1,1.0,6.0,3,-122.414811,37.610585,10,43
1041766,1,22.0,5.0,8,-122.483695,37.754624,10,43
1041766,1,9.0,5.0,9,-122.4470998,37.7790199,10,43
1041766,1,22.0,5.0,18,-122.483695,37.754624,10,43
1041766,1,2.0,5.0,18,-122.414811,37.610585,10,43
1041766,2,1.0,6.0,3,-122.414811,37.610585,10,44
1041766,2,9.0,5.0,8,-122.328418,37.536798,10,44
1041766,2,2.0,5.0,19,-122.414811,37.610585,10,44
1041766,3,1.0,6.0,3,-122.414811,37.610585,10,3
1041766,3,17.0,5.0,8,-122.483695,37.754624,10,3
1041766,3,2.0,5.0,18,-122.414811,37.610585,10,3
1045672,1,1.0,6.0,3,-121.94335,37.953765,10,59
1045672,1,9.0,1.0,8,-122.2653853,37.8063078,10,59
1045672,1,1.0,1.0,18,-121.94335,37.953765,10,59
1045672,2,1.0,6.0,3,-121.94335,37.953765,10,59
1045672,3,1.0,6.0,3,-121.94335,37.953765,10,32
1045672,3,9.0,5.0,8,-122.053556,37.976257,10,32
1045672,3,2.0,5.0,17,-121.94335,37.953765,10,32
1065904,1,1.0,6.0,3,-122.523748,37.904902,10,57
1065904,1,25.0,5.0,11,-122.492751,37.953389,10,57
1065904,1,9.0,5.0,12,-122.4096475,37.806026,10,57
1065904,1,1.0,5.0,17,-122.523748,37.904902,10,57
1065904,2,1.0,6.0,3,-122.523748,37.904902,10,58
1065904,2,35.0,1.0,6,-122.4010577,37.7880221,10,58
1065904,2,9.0,3.0,8,-122.4005221,37.7903227,10,58
1065904,2,31.0,3.0,12,-122.4018519,37.7927527,10,58
1065904,2,9.0,3.0,12,-122.4005221,37.7903227,10,58
1065904,2,1.0,1.0,18,-122.523748,37.904902,10,58
1095531,1,1.0,6.0,3,-122.426453,37.741154,10,47
1095531,1,22.0,2.0,8,-122.422467,37.7498621,10,47
1095531,1,9.0,1.0,10,-122.02456409999998,37.4160669,10,47
1095531,1,31.0,3.0,12,-122.02496399999998,37.41831,10,47
1095531,1,9.0,3.0,13,-122.02456409999998,37.4160669,10,47
1095531,1,1.0,1.0,19,-122.426453,37.741154,10,47
1095531,1,27.0,3.0,19,-122.4266917,37.7422273,10,47
1095531,1,1.0,3.0,19,-122.426453,37.741154,10,47
1095531,2,1.0,6.0,3,-122.426453,37.741154,10,39
1095531,2,9.0,2.0,9,-122.4007403,37.79045170000001,10,39
1095531,2,22.0,2.0,17,-122.4005064,37.76363170000001,10,39
1095531,2,22.0,2.0,17,-122.422467,37.7498621,10,39
1095531,2,2.0,2.0,18,-122.426453,37.741154,10,39
1095531,3,1.0,6.0,3,-122.426453,37.741154,10,6
1095531,3,17.0,5.0,8,-122.3994136,37.7530274,10,6
1095531,3,20.0,1.0,15,-122.4005064,37.76363170000001,10,6
1095531,3,22.0,2.0,17,-122.422467,37.7498621,10,6
1095531,3,1.0,2.0,18,-122.426453,37.741154,10,6
1095531,4,1.0,6.0,3,-122.426453,37.741154,10,3
1095531,4,17.0,2.0,8,-122.422467,37.7498621,10,3
1095531,4,1.0,2.0,18,-122.426453,37.741154,10,3
1120491,1,1.0,6.0,3,-122.217512,37.375244,10,54
1120491,1,9.0,5.0,7,-121.997681,37.323195,10,54
1120491,1,2.0,5.0,17,-122.217512,37.375244,10,54
1120491,2,1.0,6.0,3,-122.217512,37.375244,10,51
1120491,2,22.0,5.0,7,-122.212075,37.367937,10,51
1120491,2,8.0,5.0,7,-122.217512,37.375244,10,51
1120491,2,34.0,5.0,10,-122.208621,37.361588,10,51
1120491,2,1.0,5.0,10,-122.217512,37.375244,10,51
1120491,2,22.0,5.0,15,-122.212075,37.367937,10,51
1120491,2,5.0,5.0,15,-122.217512,37.375244,10,51
1120491,2,26.0,5.0,16,-122.193361,37.401313,10,51
1120491,2,5.0,5.0,17,-122.217512,37.375244,10,51
1120491,3,1.0,6.0,3,-122.217512,37.375244,10,14
1120491,3,17.0,5.0,7,-122.212075,37.367937,10,14
1120491,3,5.0,5.0,15,-122.217512,37.375244,10,14
1120491,3,26.0,5.0,16,-122.193361,37.401313,10,14
1120491,3,30.0,5.0,17,-121.9373502,37.3516988,10,14
1120491,3,2.0,5.0,20,-122.217512,37.375244,10,14
1120491,4,1.0,6.0,3,-122.217512,37.375244,10,11
1120491,4,17.0,5.0,7,-122.212075,37.367937,10,11
1120491,4,5.0,5.0,15,-122.217512,37.375244,10,11
1120491,4,26.0,5.0,16,-122.193361,37.401313,10,11
1120491,4,5.0,5.0,17,-122.217512,37.375244,10,11
1120697,1,1.0,6.0,3,-121.837274,37.216441,10,58
1120697,1,34.0,5.0,8,-121.8600066,37.2451453,10,58
1120697,1,31.0,5.0,9,-121.858314,37.2491629,10,58
1120697,1,28.0,5.0,10,-121.8794504,37.3219944,10,58
1120697,1,37.0,5.0,11,-122.077268,37.41442,10,58
1120697,1,27.0,5.0,13,-121.9564215,37.2475566,10,58
1120697,1,37.0,5.0,14,-121.947667,37.252432,10,58
1120697,1,1.0,5.0,18,-121.837274,37.216441,10,58
1120697,1,37.0,5.0,20,-121.947667,37.252432,10,58
1120697,1,1.0,5.0,23,-121.837274,37.216441,10,58
1120697,2,32.0,6.0,3,-121.947667,37.252432,10,61
1125362,1,1.0,6.0,3,-122.643937,38.4147559,10,66
1125362,1,9.0,5.0,10,-122.697405,38.444148,10,66
1125362,1,32.0,5.0,12,-122.701379,38.4436899,10,66
1125362,1,27.0,5.0,14,-122.71328090000002,38.4270053,10,66
1125362,1,9.0,5.0,14,-122.697405,38.444148,10,66
1125362,1,37.0,5.0,18,-122.705918,38.438396,10,66
1125362,1,8.0,5.0,19,-122.643937,38.4147559,10,66
1125362,2,1.0,6.0,3,-122.643937,38.4147559,10,67
1125362,2,27.0,5.0,10,-122.668307,38.426313,10,67
1125362,2,8.0,5.0,11,-122.643937,38.4147559,10,67
1128740,1,1.0,6.0,3,-122.162084,37.415534,10,46
1128740,1,22.0,3.0,7,-122.156294,37.414364,10,46
1128740,1,1.0,3.0,8,-122.162084,37.415534,10,46
1128740,1,22.0,3.0,13,-122.156294,37.414364,10,46
1128740,1,1.0,3.0,13,-122.162084,37.415534,10,46
1128740,1,34.0,5.0,16,-122.128852,37.430289,10,46
1128740,1,1.0,5.0,19,-122.162084,37.415534,10,46
1128740,2,1.0,6.0,3,-122.162084,37.415534,10,49
1128740,2,22.0,5.0,7,-122.156294,37.414364,10,49
1128740,2,25.0,5.0,7,-122.141981,37.403559,10,49
1128740,2,9.0,5.0,12,-122.1801247,37.4343508,10,49
1128740,2,1.0,5.0,19,-122.162084,37.415534,10,49
1128740,3,1.0,6.0,3,-122.162084,37.415534,10,7
1128740,3,17.0,5.0,7,-122.156294,37.414364,10,7
1128740,3,1.0,3.0,13,-122.162084,37.415534,10,7
1128740,3,34.0,5.0,16,-122.128852,37.430289,10,7
1128740,3,1.0,5.0,19,-122.162084,37.415534,10,7
1128740,4,1.0,6.0,3,-122.162084,37.415534,10,5
1128740,4,17.0,3.0,7,-122.156294,37.414364,10,5
1128740,4,1.0,3.0,13,-122.162084,37.415534,10,5
1128740,4,34.0,5.0,16,-122.128852,37.430289,10,5
1128740,4,1.0,5.0,19,-122.162084,37.415534,10,5
1128740,5,1.0,6.0,3,-122.162084,37.415534,10,5
1128740,5,17.0,3.0,7,-122.156294,37.414364,10,5
1128740,5,1.0,3.0,13,-122.162084,37.415534,10,5
1128740,5,34.0,5.0,16,-122.128852,37.430289,10,5
1128740,5,1.0,5.0,19,-122.162084,37.415534,10,5
1130726,1,1.0,6.0,3,-121.991601,37.23304,10,50
1130726,2,1.0,6.0,3,-121.991601,37.23304,10,51
1130726,3,1.0,6.0,3,-121.991601,37.23304,10,17
1130726,3,31.0,5.0,11,-121.97855520000002,37.22125629999999,10,17
1130726,3,1.0,5.0,21,-121.991601,37.23304,10,17
1130726,4,1.0,6.0,3,-121.991601,37.23304,10,13
1130726,4,34.0,5.0,11,-121.97855520000002,37.22125629999999,10,13
1130726,4,1.0,5.0,21,-121.991601,37.23304,10,13
1132059,1,1.0,6.0,3,-121.885479,37.6888961,10,45
1132059,1,9.0,5.0,9,-122.05435,37.979907,10,45
1132059,1,31.0,5.0,11,-122.05005,37.969598,10,45
1132059,1,9.0,5.0,13,-122.05435,37.979907,10,45
1132059,1,1.0,5.0,18,-121.885479,37.6888961,10,45
1132059,2,1.0,6.0,3,-121.885479,37.6888961,10,47
1132059,2,22.0,5.0,8,-121.860435,37.6918999,10,47
1132059,2,22.0,5.0,8,-121.882686,37.675555,10,47
1132059,2,9.0,5.0,8,-121.922214,37.694654,10,47
1132059,2,35.0,5.0,11,-122.143004,37.685578,10,47
1132059,2,9.0,5.0,13,-121.922214,37.694654,10,47
1132059,2,22.0,5.0,17,-121.908826,37.677615,10,47
1132059,2,1.0,5.0,17,-121.885479,37.6888961,10,47
1132059,3,1.0,6.0,3,-121.885479,37.6888961,10,11
1132059,3,22.0,5.0,8,-121.860435,37.6918999,10,11
1132059,3,17.0,5.0,8,-121.882686,37.675555,10,11
1132059,3,7.0,1.0,15,-121.885479,37.6888961,10,11
1132059,4,1.0,6.0,3,-121.885479,37.6888961,10,7
1132059,4,17.0,5.0,8,-121.860435,37.6918999,10,7
1132059,4,34.0,1.0,15,-121.908826,37.677615,10,7
1132059,4,7.0,5.0,17,-121.885479,37.6888961,10,7
1133036,1,1.0,6.0,3,-122.449728,37.642302,10,57
1133036,1,9.0,5.0,7,-122.50380459999998,37.7823795,10,57
1133036,1,23.0,5.0,16,-122.4875997,37.6132164,10,57
1133036,1,1.0,5.0,16,-122.449728,37.642302,10,57
1133036,1,27.0,5.0,20,-122.40321090000002,37.6423213,10,57
1133036,1,1.0,5.0,21,-122.449728,37.642302,10,57
1133036,2,1.0,6.0,3,-122.449728,37.642302,10,42
1133036,2,22.0,5.0,8,-122.460725,37.644293,10,42
