SAMPN,PERNO,APURP1,MODE,ARR_HR,XCORD,YCORD,INCOM,AGE
1039620,1,1.0,6.0,3,-122.091658,37.384413,7,71
1039620,1,22.0,5.0,14,-121.91411940000002,37.2377386,7,71
1039620,1,27.0,5.0,15,-121.9949743,37.3228408,7,71
1039620,1,31.0,5.0,17,-122.014961,37.328005,7,71
1039620,1,1.0,5.0,19,-122.091658,37.384413,7,71
1039620,2,1.0,6.0,3,-122.091658,37.384413,7,69
1039620,2,22.0,5.0,14,-121.91411940000002,37.2377386,7,69
1039620,2,27.0,5.0,15,-121.9949743,37.3228408,7,69
1039620,2,31.0,5.0,17,-122.014961,37.328005,7,69
1039620,2,1.0,5.0,19,-122.091658,37.384413,7,69
1041076,1,1.0,6.0,3,-122.232668,37.452178,7,75
1041076,1,32.0,5.0,9,-122.2244889,37.4895693,7,75
1041076,1,31.0,5.0,11,-122.214678,37.486712,7,75
1041076,1,1.0,5.0,12,-122.232668,37.452178,7,75
1041076,2,1.0,6.0,3,-122.232668,37.452178,7,70
1041076,2,32.0,5.0,9,-122.2244889,37.4895693,7,70
1041076,2,31.0,5.0,11,-122.214678,37.486712,7,70
1041076,2,1.0,5.0,12,-122.232668,37.452178,7,70
1047092,1,1.0,6.0,3,-122.281672,37.774988,7,50
1047092,1,27.0,5.0,10,-122.251688,37.757089,7,50
1047092,1,1.0,5.0,14,-122.281672,37.774988,7,50
1047092,2,1.0,6.0,3,-122.281672,37.774988,7,51
1050385,1,1.0,6.0,3,-122.252545,37.537021,7,45
1050385,1,22.0,5.0,7,-122.266181,37.495035,7,45
1050385,1,1.0,5.0,8,-122.252545,37.537021,7,45
1050385,1,22.0,5.0,14,-122.266181,37.495035,7,45
1050385,1,1.0,5.0,15,-122.252545,37.537021,7,45
1050385,2,1.0,6.0,3,-122.252545,37.537021,7,45
1050385,3,38.0,6.0,3,-77.0363658,38.8951118,7,14
1050385,4,1.0,6.0,3,-122.252545,37.537021,7,10
1050385,4,17.0,5.0,7,-122.266181,37.495035,7,10
1050385,4,1.0,5.0,15,-122.252545,37.537021,7,10
1051388,1,1.0,6.0,3,-122.4457731,37.76727929999999,7,49
1051388,1,22.0,5.0,8,-122.4561418,37.7888162,7,49
1051388,1,37.0,5.0,8,-122.4019627,37.7896798,7,49
1051388,1,27.0,3.0,8,-122.402151,37.7903831,7,49
1051388,1,36.0,3.0,9,-122.4019627,37.7896798,7,49
1051388,1,31.0,3.0,11,-122.4042803,37.7901888,7,49
1051388,1,31.0,1.0,13,-122.4503588,37.766462,7,49
1051388,1,27.0,3.0,13,-122.4465386,37.7671758,7,49
1051388,1,1.0,3.0,13,-122.4457731,37.76727929999999,7,49
1051388,2,1.0,6.0,3,-122.4457731,37.76727929999999,7,48
1051388,2,22.0,5.0,8,-122.4561418,37.7888162,7,48
1051388,2,9.0,5.0,8,-122.4019627,37.7896798,7,48
1051388,2,22.0,5.0,15,-122.4561418,37.7888162,7,48
1051388,2,1.0,5.0,15,-122.4457731,37.76727929999999,7,48
1051388,2,22.0,5.0,17,-122.4765876,37.7861324,7,48
1051388,2,26.0,5.0,17,-122.4773883,37.7654888,7,48
1051388,2,1.0,5.0,18,-122.4457731,37.76727929999999,7,48
1051388,2,25.0,5.0,18,-122.3995591,37.7970125,7,48
1051388,2,1.0,5.0,22,-122.4457731,37.76727929999999,7,48
1051388,3,1.0,6.0,3,-122.4457731,37.76727929999999,7,10
1051388,3,17.0,5.0,8,-122.4561418,37.7888162,7,10
1051388,3,5.0,5.0,15,-122.4457731,37.76727929999999,7,10
1064644,1,1.0,6.0,3,-122.485125,37.692202,7,42
1064644,1,9.0,5.0,8,-122.431254,37.790998,7,42
1064644,1,29.0,5.0,17,-122.484802,37.701103,7,42
1064644,1,1.0,5.0,18,-122.485125,37.692202,7,42
1064644,1,22.0,5.0,20,-122.4232881,37.6239252,7,42
1064644,1,22.0,5.0,20,-122.413568,37.62992979999999,7,42
1064644,1,31.0,5.0,21,-122.3995293,37.7447281,7,42
1064644,1,1.0,5.0,21,-122.485125,37.692202,7,42
1064644,2,1.0,6.0,3,-122.485125,37.692202,7,44
1064644,2,9.0,5.0,9,-122.4000351,37.6297569,7,44
1064644,2,37.0,5.0,20,-122.26277659999998,37.5078364,7,44
1064644,2,1.0,5.0,2,-122.485125,37.692202,7,44
1064644,3,1.0,6.0,3,-122.485125,37.692202,7,15
1064644,3,17.0,5.0,8,-122.40689,37.609993,7,15
1064644,3,22.0,5.0,14,-122.3662705,37.5841989,7,15
1064644,3,1.0,5.0,15,-122.485125,37.692202,7,15
1064644,3,34.0,3.0,16,-122.4904872,37.6906408,7,15
1064644,3,1.0,3.0,18,-122.485125,37.692202,7,15
1064644,3,22.0,5.0,20,-122.4232881,37.6239252,7,15
