SAMPN,PERNO,APURP1,MODE,ARR_HR,XCORD,YCORD,INCOM,AGE
1041494,1,1.0,6.0,3,-122.091521,38.01076,5,66
1041494,2,1.0,6.0,3,-122.091521,38.01076,5,68
1041494,3,1.0,6.0,3,-122.091521,38.01076,5,40
1041494,4,1.0,6.0,3,-122.091521,38.01076,5,36
1041494,4,9.0,5.0,8,-122.1181031,37.8857834,5,36
1041494,4,1.0,5.0,18,-122.091521,38.01076,5,36
1059184,1,1.0,6.0,3,-121.783657,37.690989,5,43
1059184,1,9.0,5.0,8,-121.8954747,37.6915014,5,43
1059184,1,8.0,5.0,17,-121.783657,37.690989,5,43
1059184,2,1.0,6.0,3,-121.783657,37.690989,5,39
1059184,2,9.0,2.0,8,-121.763594,37.700426,5,39
1059184,2,1.0,2.0,18,-121.783657,37.690989,5,39
1060749,1,1.0,6.0,3,-121.981014,37.27695900000001,5,62
1060749,1,37.0,3.0,6,-121.9747242,37.28614320000001,5,62
1060749,1,9.0,1.0,6,-121.933259,37.313762,5,62
1060749,1,22.0,1.0,15,-121.9243356,37.3342908,5,62
1060749,1,39.0,1.0,15,-121.997362,37.33537000000001,5,62
1060749,1,39.0,3.0,15,-121.997362,37.33537000000001,5,62
1060749,1,22.0,1.0,16,-122.013495,37.323857,5,62
1060749,1,22.0,1.0,16,-121.9824687,37.2859189,5,62
1060749,1,2.0,3.0,16,-121.981014,37.27695900000001,5,62
1066337,1,1.0,6.0,3,-121.997147,37.282648,5,79
1066337,1,37.0,5.0,14,-122.0003348,37.2930131,5,79
1066337,1,1.0,5.0,15,-121.997147,37.282648,5,79
1066337,1,31.0,5.0,17,-121.98571499999998,37.291717,5,79
1066337,1,1.0,5.0,18,-121.997147,37.282648,5,79
1066337,2,1.0,6.0,3,-121.997147,37.282648,5,82
1066337,2,34.0,5.0,9,-122.001793,37.28137,5,82
1066337,2,27.0,5.0,10,-121.9765775,37.2871856,5,82
1066337,2,1.0,5.0,11,-121.997147,37.282648,5,82
1066337,2,31.0,5.0,17,-121.98571499999998,37.291717,5,82
1066337,2,1.0,5.0,18,-121.997147,37.282648,5,82
1066337,2,29.0,5.0,18,-121.994922,37.281291,5,82
1066337,2,1.0,5.0,19,-121.997147,37.282648,5,82
1067415,1,1.0,6.0,3,-122.112595,37.644211,5,78
1067415,1,37.0,3.0,10,-122.113258,37.6456469,5,78
1067415,1,7.0,3.0,11,-122.112595,37.644211,5,78
1067415,1,22.0,5.0,16,-122.12568190000002,37.6798753,5,78
1067415,1,26.0,5.0,16,-122.1302439,37.7003782,5,78
1067415,1,1.0,5.0,17,-122.112595,37.644211,5,78
1067415,2,1.0,6.0,3,-122.112595,37.644211,5,71
1067415,2,29.0,5.0,16,-122.12568190000002,37.6798753,5,71
1067415,2,26.0,5.0,16,-122.1302439,37.7003782,5,71
1067415,2,1.0,5.0,17,-122.112595,37.644211,5,71
1067977,1,1.0,6.0,3,-121.9097335,38.3490027,5,49
1067977,1,22.0,5.0,5,-121.9742361,38.3462852,5,49
1067977,1,6.0,5.0,9,-121.9097335,38.3490027,5,49
1067977,1,22.0,5.0,15,-121.9742361,38.3462852,5,49
1067977,1,1.0,5.0,16,-121.9097335,38.3490027,5,49
1067977,2,1.0,6.0,3,-121.9097335,38.3490027,5,51
1067977,2,16.0,5.0,6,-121.9451592,38.4147923,5,51
1067977,2,25.0,5.0,7,-121.880951,37.695019,5,51
1067977,2,9.0,5.0,16,-121.9451592,38.4147923,5,51
1067977,2,1.0,5.0,16,-121.9097335,38.3490027,5,51
1069723,1,1.0,6.0,3,-122.440516,37.778625,5,50
1069723,1,9.0,1.0,8,-122.4011702,37.7881031,5,50
1069723,1,1.0,1.0,17,-122.440516,37.778625,5,50
1069723,2,1.0,6.0,3,-122.440516,37.778625,5,57
1094328,1,1.0,6.0,3,-122.251823,37.454994,5,70
1094328,2,1.0,6.0,3,-122.251823,37.454994,5,44
1094328,2,34.0,3.0,12,-122.248876,37.455404,5,44
1094328,2,2.0,3.0,12,-122.251823,37.454994,5,44
1094328,2,9.0,1.0,15,-122.32064,37.54872,5,44
1094328,2,36.0,1.0,18,-122.23270759999998,37.484791,5,44
1094328,2,37.0,1.0,19,-122.25260559999998,37.455056,5,44
1094328,2,2.0,3.0,19,-122.251823,37.454994,5,44
1096422,1,1.0,6.0,3,-122.674542,38.4768649,5,65
1096422,1,9.0,5.0,7,-122.68429,38.433211,5,65
1096422,1,2.0,5.0,17,-122.674542,38.4768649,5,65
1096422,1,37.0,5.0,18,-122.68595,38.44016,5,65
1096422,1,1.0,5.0,20,-122.674542,38.4768649,5,65
1096422,2,1.0,6.0,3,-122.674542,38.4768649,5,68
1096422,2,9.0,5.0,9,-122.71359309999998,38.3559162,5,68
1096422,2,1.0,5.0,22,-122.674542,38.4768649,5,68
1098726,1,1.0,6.0,3,-121.95776979999998,37.3561188,5,27
1098726,1,27.0,5.0,10,-121.974229,37.3384069,5,27
1098726,1,1.0,5.0,12,-121.95776979999998,37.3561188,5,27
1098726,2,1.0,6.0,3,-121.95776979999998,37.3561188,5,30
1098726,2,17.0,5.0,18,-121.9765979,37.3926156,5,30
1098726,2,1.0,5.0,22,-121.95776979999998,37.3561188,5,30
1098726,3,1.0,6.0,3,-121.95776979999998,37.3561188,5,5
1098726,4,1.0,6.0,3,-121.95776979999998,37.3561188,5,2
1119021,1,2.0,6.0,3,-121.876442,37.3848399,5,66
1119021,2,2.0,6.0,3,-121.876442,37.3848399,5,65
