SAMPN,PERNO,APURP1,MODE,ARR_HR,XCORD,YCORD,INCOM,AGE
1033944,1,1.0,6.0,3,-122.47007,37.718091,6,43
1033944,1,33.0,1.0,9,-122.40375729999998,37.7752691,6,43
1033944,1,7.0,1.0,16,-122.47007,37.718091,6,43
1033944,1,37.0,5.0,18,-122.4788987,37.728114,6,43
1033944,1,27.0,5.0,20,-122.489673,37.733149,6,43
1033944,1,27.0,3.0,20,-122.48885,37.733944,6,43
1033944,1,27.0,5.0,21,-122.475682,37.726896,6,43
1033944,1,8.0,5.0,21,-122.47007,37.718091,6,43
1033944,1,37.0,5.0,21,-122.463333,37.7162859,6,43
1033944,1,1.0,5.0,23,-122.47007,37.718091,6,43
1043613,1,1.0,6.0,3,-122.2525232,37.85194170000001,6,53
1043613,1,9.0,5.0,8,-122.275657,37.799656,6,53
1043613,1,2.0,5.0,12,-122.2525232,37.85194170000001,6,53
1043613,1,27.0,5.0,13,-122.251807,37.843876,6,53
1043613,1,9.0,5.0,14,-122.275657,37.799656,6,53
1043613,1,20.0,5.0,17,-122.4421783,37.7652736,6,53
1043613,1,1.0,5.0,21,-122.2525232,37.85194170000001,6,53
1043613,2,1.0,6.0,3,-122.2525232,37.85194170000001,6,54
1043613,2,26.0,5.0,7,-122.2441193,37.8580857,6,54
1043613,2,9.0,5.0,7,-122.0699931,37.9694722,6,54
1043613,2,33.0,5.0,12,-122.341219,37.9538115,6,54
1043613,2,9.0,5.0,15,-122.0699931,37.9694722,6,54
1043613,2,1.0,5.0,19,-122.2525232,37.85194170000001,6,54
1044414,1,1.0,6.0,3,-121.717117,37.904803,6,72
1044414,1,23.0,5.0,7,-121.7238163,37.925409,6,72
1044414,1,1.0,5.0,7,-121.717117,37.904803,6,72
1044414,1,30.0,5.0,11,-121.720897,37.914824,6,72
1044414,1,27.0,5.0,11,-121.729205,37.963964,6,72
1044414,1,2.0,5.0,11,-121.717117,37.904803,6,72
1044414,1,29.0,5.0,18,-121.3069324,37.95501270000001,6,72
1044414,1,36.0,5.0,18,-121.298445,37.955587,6,72
1044414,1,1.0,5.0,22,-121.717117,37.904803,6,72
1044414,2,37.0,6.0,3,-77.61399200000002,38.807031,6,70
