SAMPN,PERNO,APURP1,MODE,ARR_HR,XCORD,YCORD,INCOM,AGE
1031985,1,1.0,6.0,3,,38.1616,3,74
1031985,1,37.0,5.0,9,-122.1537882,38.0531129,3,74
1031985,1,2.0,5.0,13,-122.182785,38.1616,3,74
1031985,2,1.0,6.0,3,-122.182785,38.1616,3,73
1031985,2,33.0,5.0,9,-122.2439025,38.1507459,3,73
1031985,2,8.0,5.0,10,-122.182785,38.1616,3,73
1041304,1,1.0,6.0,3,-121.89414,37.244833,3,65
1041304,1,25.0,5.0,7,-121.902268,37.243913,3,65
1041304,1,29.0,5.0,15,-121.912192,37.290754,3,65
1041304,1,1.0,5.0,15,-121.89414,37.244833,3,65
1055449,1,1.0,6.0,3,-122.710948,38.434959,3,22
1055449,1,22.0,5.0,22,-122.719075,38.4002382,3,22
1055449,1,3.0,5.0,22,-122.710948,38.434959,3,22
1059276,1,1.0,6.0,3,-122.5230749,38.0465221,3,55
1059276,1,22.0,5.0,7,-122.573047,38.089108,3,55
1059276,1,26.0,5.0,7,-122.5048591,37.9621463,3,55
1059276,1,9.0,5.0,8,-122.520756,37.970175,3,55
1059276,1,29.0,5.0,12,-122.500272,37.961185,3,55
1059276,1,9.0,5.0,13,-122.520756,37.970175,3,55
1059276,1,26.0,5.0,17,-122.5048591,37.9621463,3,55
1059276,1,2.0,5.0,18,-122.5230749,38.0465221,3,55
1059276,1,22.0,5.0,18,-122.573047,38.089108,3,55
1059276,1,1.0,5.0,18,-122.5230749,38.0465221,3,55
1059276,2,1.0,6.0,3,-122.5230749,38.0465221,3,15
1059276,2,17.0,5.0,7,-122.573047,38.089108,3,15
1059276,2,5.0,5.0,18,-122.5230749,38.0465221,3,15
1066319,1,37.0,6.0,3,-122.145373,37.433724,3,66
1066319,1,27.0,5.0,9,-122.1593066,37.4423571,3,66
1066319,1,37.0,5.0,10,-122.175337,37.436475,3,66
1066319,1,37.0,5.0,13,-122.4914083,38.2598635,3,66
1066319,1,27.0,5.0,17,-122.673745,38.442253,3,66
1066319,1,8.0,5.0,18,-122.669618,38.4287629,3,66
1066319,2,37.0,6.0,3,-122.145373,37.433724,3,67
1066319,2,27.0,5.0,9,-122.1593066,37.4423571,3,67
1066319,2,37.0,5.0,10,-122.145373,37.433724,3,67
1066319,2,37.0,5.0,10,-122.175337,37.436475,3,67
1066319,2,35.0,5.0,13,-122.4914083,38.2598635,3,67
1066319,2,27.0,5.0,17,-122.673745,38.442253,3,67
1066319,2,8.0,5.0,18,-122.669618,38.4287629,3,67
1119577,1,1.0,6.0,3,-122.424882,37.769267,3,57
1119577,1,34.0,1.0,7,-122.3932003,37.7932313,3,57
