SAMPN,PERNO,APURP1,MODE,ARR_HR,XCORD,YCORD,INCOM,AGE
1066541,1,1.0,6.0,3,-122.0350476,37.5623704,8,35
1066541,1,22.0,5.0,7,-121.958841,37.538791,8,35
1066541,1,9.0,5.0,8,-122.0737479,37.6939263,8,35
1066541,1,23.0,5.0,12,-122.090032,37.6924708,8,35
1066541,1,9.0,5.0,12,-122.0737479,37.6939263,8,35
1066541,1,2.0,5.0,17,-122.0350476,37.5623704,8,35
1066541,2,1.0,6.0,3,-122.0350476,37.5623704,8,36
1066541,2,26.0,5.0,6,-122.032286,37.570441,8,36
1066541,2,9.0,5.0,7,-122.025479,37.925265,8,36
1066541,2,22.0,5.0,17,-121.958841,37.538791,8,36
1066541,2,2.0,5.0,18,-122.0350476,37.5623704,8,36
1066541,3,1.0,6.0,3,-122.0350476,37.5623704,8,2
1066541,3,37.0,5.0,7,-121.958841,37.538791,8,2
1066541,3,2.0,5.0,18,-122.0350476,37.5623704,8,2
1093539,1,1.0,6.0,3,-122.461224,37.763981,8,56
1093539,1,9.0,3.0,7,-122.3907137,37.7619039,8,56
1093539,1,1.0,3.0,18,-122.461224,37.763981,8,56
1093539,2,1.0,6.0,3,-122.461224,37.763981,8,71
1093539,2,9.0,5.0,11,-122.4563239,37.7815735,8,71
1093539,2,1.0,5.0,20,-122.461224,37.763981,8,71
1093539,3,1.0,6.0,3,-122.461224,37.763981,8,76
1120220,1,1.0,6.0,3,-122.38858020000002,37.763002,8,29
1120220,1,31.0,3.0,12,-122.3876555,37.75977260000001,8,29
1120220,1,8.0,3.0,13,-122.38858020000002,37.763002,8,29
1120220,2,1.0,6.0,3,-122.38858020000002,37.763002,8,29
1120220,2,9.0,1.0,8,-122.3977374,37.7934,8,29
1120220,2,4.0,1.0,19,-122.38858020000002,37.763002,8,29
1121851,1,1.0,6.0,3,-122.048148,37.362722,8,44
1121851,1,20.0,5.0,8,-122.043192,37.367075,8,44
1121851,1,31.0,5.0,9,-122.0320681,37.3668364,8,44
1121851,1,22.0,5.0,11,-122.042718,37.351807,8,44
1121851,1,22.0,5.0,11,-122.048148,37.362722,8,44
1121851,1,29.0,5.0,11,-122.0390404,37.3713185,8,44
1121851,1,22.0,5.0,11,-122.042718,37.351807,8,44
1121851,1,29.0,5.0,12,-122.051191,37.353972,8,44
1121851,1,1.0,5.0,12,-122.048148,37.362722,8,44
1121851,1,22.0,5.0,14,-122.043192,37.367075,8,44
1121851,1,1.0,5.0,15,-122.048148,37.362722,8,44
1121851,2,1.0,6.0,3,-122.048148,37.362722,8,40
1121851,2,22.0,5.0,8,-122.042718,37.351807,8,40
1121851,2,33.0,5.0,9,-122.0320681,37.3668364,8,40
1121851,2,9.0,5.0,10,-122.0838747,37.3856576,8,40
1121851,2,2.0,5.0,18,-122.048148,37.362722,8,40
1121851,3,1.0,6.0,3,-122.048148,37.362722,8,9
1121851,3,17.0,5.0,8,-122.043192,37.367075,8,9
1121851,3,1.0,5.0,15,-122.048148,37.362722,8,9
1121851,4,1.0,6.0,3,-122.048148,37.362722,8,7
1121851,4,17.0,5.0,8,-122.043192,37.367075,8,7
1121851,4,5.0,5.0,15,-122.048148,37.362722,8,7
1121851,5,1.0,6.0,3,-122.048148,37.362722,8,3
1121851,5,17.0,5.0,8,-122.042718,37.351807,8,3
1121851,5,31.0,5.0,9,-122.0320681,37.3668364,8,3
1121851,5,17.0,5.0,11,-122.042718,37.351807,8,3
1121851,5,29.0,5.0,12,-122.051191,37.353972,8,3
1121851,5,8.0,5.0,12,-122.048148,37.362722,8,3
1121851,5,37.0,5.0,14,-122.043192,37.367075,8,3
1121851,5,8.0,5.0,15,-122.048148,37.362722,8,3
1121901,1,1.0,6.0,3,-122.276876,37.889184,8,52
1121901,1,35.0,5.0,9,-122.2930015,37.8876869,8,52
1121901,1,22.0,5.0,10,-122.276876,37.889184,8,52
1121901,1,32.0,5.0,11,-122.260334,37.854823,8,52
1121901,1,22.0,5.0,13,-122.29103290000002,37.8907218,8,52
1121901,1,27.0,5.0,13,-122.2781711,37.89143720000001,8,52
1121901,1,2.0,5.0,13,-122.276876,37.889184,8,52
1121901,1,37.0,5.0,14,-122.29103290000002,37.8907218,8,52
1121901,1,1.0,5.0,15,-122.276876,37.889184,8,52
1121901,2,1.0,6.0,3,-122.276876,37.889184,8,67
1121901,2,34.0,3.0,9,-122.276739,37.8900154,8,67
1121901,2,6.0,3.0,10,-122.276876,37.889184,8,67
1121901,2,9.0,5.0,11,-122.2685729,37.8738715,8,67
1121901,2,2.0,5.0,18,-122.276876,37.889184,8,67
1121901,3,1.0,6.0,3,-122.276876,37.889184,8,24
1121901,3,32.0,5.0,11,-122.260334,37.854823,8,24
1121901,3,22.0,5.0,13,-122.29103290000002,37.8907218,8,24
1121901,3,27.0,5.0,13,-122.2781711,37.89143720000001,8,24
1121901,3,2.0,5.0,13,-122.276876,37.889184,8,24
1121901,3,32.0,5.0,16,-122.2599561,37.848808700000006,8,24
1121901,3,1.0,5.0,17,-122.276876,37.889184,8,24
1123906,1,1.0,6.0,3,-122.659822,38.44892,8,55
1123906,1,29.0,5.0,10,-122.8166243,38.3908926,8,55
1123906,1,30.0,5.0,11,-122.8199708,38.40230220000001,8,55
1123906,1,25.0,5.0,12,-122.709147,38.462646,8,55
1123906,1,9.0,5.0,12,-122.725868,38.469786,8,55
1123906,1,25.0,5.0,14,-122.727566,38.460984,8,55
1123906,1,25.0,5.0,14,-122.712882,38.441098,8,55
1123906,1,26.0,5.0,15,-122.7109198,38.4296748,8,55
1123906,1,6.0,5.0,16,-122.659822,38.44892,8,55
1123906,1,35.0,5.0,19,-122.7438569,38.4448905,8,55
1123906,1,37.0,5.0,20,-122.728303,38.456688,8,55
1123906,1,22.0,5.0,21,-122.7816469,38.5126854,8,55
1123906,1,22.0,5.0,23,-122.728303,38.456688,8,55
1123906,1,1.0,5.0,23,-122.659822,38.44892,8,55
1124647,1,1.0,6.0,3,-122.02235,37.343952,8,49
1124647,1,35.0,5.0,6,-122.0041897,37.3521153,8,49
