tract_id,entropy,p1,p2,p3
688,0.5364959165104207,0.8214285969734192,0.0714285746216774,0.1071428582072258
689,0.9463946329577226,0.5,0.25,0.25
690,0.9802682041263575,0.42748090624809265,0.25954198837280273,0.3129771053791046
691,0.9041742804267685,0.2142857164144516,0.5571428537368774,0.22857142984867096
692,0.8828016480864094,0.29629629850387573,0.5555555820465088,0.14814814925193787
693,0.9474600825491506,0.48591548204421997,0.2112676054239273,0.30281689763069153
694,0.5066818829845703,0.8333333134651184,0.1111111119389534,0.0555555559694767
695,0.9649618200937256,0.3684210479259491,0.21052631735801697,0.42105263471603394
696,0.8383922898183465,0.1964285671710968,0.1785714328289032,0.625
697,0.8834355574980727,0.5753424763679504,0.1780821979045868,0.24657534062862396
698,0.8640439191964042,0.2142857164144516,0.18571428954601288,0.6000000238418579
699,0.8982239197006326,0.43023255467414856,0.12790697813034058,0.44186046719551086
700,0.9770358303735267,0.23529411852359772,0.3529411852359772,0.4117647111415863
701,0.9019761599360514,0.44736841320991516,0.1315789520740509,0.42105263471603394
702,0.856528316555985,0.20270270109176636,0.18918919563293457,0.6081081032752991
703,0.8866659238349303,0.3877550959587097,0.12244898080825806,0.4897959232330322
704,0.9010096705266565,0.151162788271904,0.3255814015865326,0.5232558250427246
705,0.9770455961809641,0.38461539149284363,0.23076923191547394,0.38461539149284363
706,0.8970622226514599,0.5076923370361328,0.13846154510974884,0.35384616255760193
707,0.6650749244295164,0.3400000035762787,0.019999999552965164,0.6399999856948853
708,0.958313583917211,0.46107783913612366,0.21556885540485382,0.32335329055786133
709,0.5979507320977858,0.699999988079071,0.30000001192092896,0.009999999776482582
710,0.26842482787880007,0.9322034120559692,0.033898305147886276,0.033898305147886276
711,0.8856074730721659,0.46078431606292725,0.11764705926179886,0.4215686321258545
712,0.789690099618715,0.5,0.0555555559694767,0.4444444477558136
713,0.7764253118853718,0.5633803009986877,0.056338027119636536,0.3802816867828369
714,0.954744181298816,0.39726027846336365,0.19178082048892975,0.4109589159488678
715,0.7217722184147468,0.5888888835906982,0.03333333507180214,0.3777777850627899
716,0.6509596433773412,0.7321428656578064,0.0535714291036129,0.2142857164144516
717,0.6780289424684051,0.7441860437393188,0.11627907305955887,0.13953489065170288
718,0.7849407704439305,0.19607843458652496,0.13725490868091583,0.6666666865348816
719,0.725329902064217,0.3380281627178192,0.0422535203397274,0.6197183132171631
720,0.94600443469611,0.2874999940395355,0.21875,0.4937500059604645
721,0.742004312955381,0.2678571343421936,0.0714285746216774,0.6607142686843872
722,0.9224781705433601,0.1818181872367859,0.3030303120613098,0.5151515007019043
723,0.4900064412581767,0.05970149114727974,0.09701492637395859,0.8432835936546326
724,0.6155917951618021,0.23076923191547394,0.032967034727334976,0.7362637519836426
725,0.6696836259772013,0.4583333432674408,0.009999999776482582,0.5416666865348816
726,0.8030530879712905,0.3178294599056244,0.5968992114067078,0.08527132123708725
